date,name,close,per,pbr,dividendYield
2010-01-04,코스피,1696.14,23.87,1.35,1.16
2010-01-05,코스피,1690.62,23.8,1.35,1.17
2010-01-06,코스피,1705.32,24.01,1.36,1.16
2010-01-07,코스피,1683.45,23.71,1.34,1.17
2010-01-08,코스피,1695.26,23.88,1.35,1.16
2010-01-11,코스피,1694.12,23.85,1.35,1.17
2010-01-12,코스피,1698.64,23.92,1.35,1.16
2010-01-13,코스피,1671.41,23.54,1.33,1.18
2010-01-14,코스피,1685.77,23.69,1.34,1.17
2010-01-15,코스피,1701.8,23.83,1.36,1.16
2010-01-18,코스피,1711.78,24.01,1.37,1.15
2010-01-19,코스피,1710.22,23.99,1.37,1.15
2010-01-20,코스피,1714.38,24.05,1.37,1.15
2010-01-21,코스피,1722.01,24.16,1.38,1.15
2010-01-22,코스피,1684.35,23.65,1.35,1.17
2010-01-25,코스피,1670.2,23.46,1.34,1.18
2010-01-26,코스피,1637.34,22.99,1.31,1.21
2010-01-27,코스피,1625.48,22.84,1.3,1.21
2010-01-28,코스피,1642.43,23.06,1.31,1.2
2010-01-29,코스피,1602.43,22.52,1.28,1.23
2010-02-01,코스피,1606.44,22.77,1.28,1.23
2010-02-02,코스피,1595.81,22.66,1.27,1.24
2010-02-03,코스피,1615.02,22.94,1.29,1.22
2010-02-04,코스피,1616.42,22.98,1.29,1.22
2010-02-05,코스피,1567.12,22.3,1.25,1.26
2010-02-08,코스피,1552.79,22.1,1.24,1.27
2010-02-09,코스피,1570.49,22.34,1.26,1.25
2010-02-10,코스피,1570.12,22.32,1.26,1.25
2010-02-11,코스피,1597.81,22.74,1.28,1.23
2010-02-12,코스피,1593.66,22.68,1.27,1.24
2010-02-16,코스피,1601.05,22.8,1.28,1.23
2010-02-17,코스피,1627.43,23.16,1.3,1.21
2010-02-18,코스피,1621.19,23.08,1.3,1.21
2010-02-19,코스피,1593.9,22.7,1.27,1.23
2010-02-22,코스피,1627.1,23.17,1.3,1.21
2010-02-23,코스피,1628.9,23.2,1.3,1.21
2010-02-24,코스피,1612.83,22.97,1.29,1.22
2010-02-25,코스피,1587.51,22.62,1.27,1.24
2010-02-26,코스피,1594.58,22.72,1.28,1.23
2010-03-02,코스피,1615.12,23.02,1.29,1.22
2010-03-03,코스피,1622.44,23.12,1.3,1.21
2010-03-04,코스피,1618.2,23.05,1.29,1.22
2010-03-05,코스피,1634.57,23.29,1.31,1.2
2010-03-08,코스피,1660.04,23.64,1.33,1.19
2010-03-09,코스피,1660.83,23.65,1.33,1.19
2010-03-10,코스피,1662.24,23.67,1.33,1.18
2010-03-11,코스피,1656.62,23.57,1.33,1.19
2010-03-12,코스피,1662.74,23.65,1.33,1.18
2010-03-15,코스피,1649.5,23.5,1.32,1.19
2010-03-16,코스피,1648.01,23.48,1.32,1.19
2010-03-17,코스피,1682.86,23.96,1.35,1.16
2010-03-18,코스피,1675.17,24.0,1.34,1.16
2010-03-19,코스피,1686.11,24.16,1.35,1.16
2010-03-22,코스피,1672.67,23.98,1.34,1.17
2010-03-23,코스피,1681.82,24.11,1.35,1.16
2010-03-24,코스피,1681.01,24.1,1.35,1.16
2010-03-25,코스피,1688.39,24.2,1.35,1.15
2010-03-26,코스피,1697.72,24.34,1.36,1.15
2010-03-29,코스피,1691.99,24.25,1.36,1.15
2010-03-30,코스피,1700.19,24.36,1.36,1.15
2010-03-31,코스피,1692.85,24.35,1.36,1.15
2010-04-01,코스피,1719.17,24.13,1.38,1.14
2010-04-02,코스피,1723.49,24.19,1.38,1.13
2010-04-05,코스피,1724.99,24.22,1.38,1.13
2010-04-06,코스피,1726.09,24.24,1.38,1.13
2010-04-07,코스피,1726.6,24.26,1.39,1.13
2010-04-08,코스피,1733.78,24.42,1.39,1.12
2010-04-09,코스피,1724.47,24.28,1.38,1.13
2010-04-12,코스피,1710.3,24.05,1.37,1.14
2010-04-13,코스피,1710.59,24.06,1.37,1.14
2010-04-14,코스피,1735.33,24.4,1.39,1.13
2010-04-15,코스피,1743.91,24.54,1.4,1.12
2010-04-16,코스피,1734.49,24.41,1.39,1.13
2010-04-19,코스피,1705.3,24.0,1.37,1.15
2010-04-20,코스피,1718.03,24.18,1.38,1.14
2010-04-21,코스피,1747.58,24.61,1.4,1.12
2010-04-22,코스피,1739.52,24.51,1.39,1.12
2010-04-23,코스피,1737.03,24.47,1.39,1.12
2010-04-26,코스피,1752.2,24.68,1.4,1.11
2010-04-27,코스피,1749.55,24.64,1.4,1.12
2010-04-28,코스피,1733.91,24.44,1.39,1.13
2010-04-29,코스피,1728.42,15.28,1.26,1.31
2010-04-30,코스피,1741.56,15.4,1.27,1.3
2010-05-03,코스피,1721.21,15.23,1.26,1.32
2010-05-04,코스피,1718.75,15.21,1.26,1.32
2010-05-06,코스피,1684.71,14.89,1.23,1.34
2010-05-07,코스피,1647.5,14.56,1.2,1.37
2010-05-10,코스피,1677.63,14.8,1.23,1.35
2010-05-11,코스피,1670.24,14.73,1.22,1.36
2010-05-12,코스피,1663.03,14.67,1.22,1.33
2010-05-13,코스피,1694.58,15.32,1.26,1.31
2010-05-14,코스피,1695.63,15.33,1.26,1.31
2010-05-17,코스피,1651.51,14.93,1.23,1.34
2010-05-18,코스피,1643.24,14.86,1.22,1.35
2010-05-19,코스피,1630.08,14.74,1.21,1.36
2010-05-20,코스피,1600.18,14.47,1.19,1.38
2010-05-24,코스피,1604.93,14.51,1.19,1.38
2010-05-25,코스피,1560.83,14.12,1.16,1.42
2010-05-26,코스피,1582.12,14.31,1.18,1.4
2010-05-27,코스피,1607.5,14.54,1.2,1.37
2010-05-28,코스피,1622.78,14.68,1.21,1.36
2010-05-31,코스피,1641.25,14.84,1.22,1.35
2010-06-01,코스피,1630.4,14.75,1.21,1.36
2010-06-03,코스피,1661.84,15.05,1.24,1.33
2010-06-04,코스피,1664.13,15.07,1.24,1.33
2010-06-07,코스피,1637.97,14.84,1.22,1.35
2010-06-08,코스피,1651.48,14.96,1.23,1.34
2010-06-09,코스피,1647.22,14.92,1.23,1.34
2010-06-10,코스피,1651.7,14.96,1.23,1.34
2010-06-11,코스피,1675.34,15.18,1.25,1.32
2010-06-14,코스피,1690.6,15.32,1.26,1.31
2010-06-15,코스피,1690.03,15.31,1.26,1.31
2010-06-16,코스피,1705.33,15.45,1.27,1.3
2010-06-17,코스피,1707.92,15.24,1.27,1.29
