일자,종가,대비,등락률,시가,고가,저가
"2026/07/16","87.14","1.35","1.57","85.15","89.75","85.15"
"2026/07/15","85.79","1.82","2.17","86.00","88.31","83.69"
"2026/07/14","83.97","0.64","0.77","82.48","87.99","81.79"
"2026/07/13","83.33","5.18","6.63","77.66","83.35","75.88"
"2026/07/10","78.15","7.33","-8.58","82.03","83.20","78.14"
"2026/07/09","85.48","2.42","-2.75","89.64","89.64","85.31"
"2026/07/08","87.90","2.21","2.58","86.36","88.28","85.78"
"2026/07/07","85.69","1.17","-1.35","85.78","86.27","84.50"
"2026/07/06","86.86","2.43","-2.72","87.83","88.38","85.85"
"2026/07/03","89.29","2.88","3.33","89.11","90.96","87.63"
"2026/07/02","86.41","2.26","-2.55","86.37","87.37","83.97"
"2026/07/01","88.67","5.13","-5.47","89.90","90.26","87.72"
"2026/06/30","93.80","3.14","-3.24","95.48","95.64","93.78"
"2026/06/29","96.94","4.23","4.56","97.99","97.99","96.58"
"2026/06/26","92.71","2.38","-2.50","92.06","94.04","89.59"
"2026/06/25","95.09","0.28","0.30","96.47","96.47","93.49"
"2026/06/24","94.81","5.40","6.04","95.32","97.78","94.19"
"2026/06/23","89.41","2.05","2.35","87.99","89.69","85.90"
"2026/06/22","87.36","3.79","4.54","87.36","90.60","86.58"
"2026/06/19","83.57","3.32","4.14","81.60","84.87","79.51"
"2026/06/18","80.25","0.60","0.75","77.32","82.70","77.06"
"2026/06/17","79.65","4.64","-5.50","81.29","81.34","79.40"
"2026/06/16","84.29","3.56","-4.05","87.34","88.25","84.21"
"2026/06/15","87.85","2.06","-2.29","88.32","94.25","87.15"
"2026/06/12","89.91","2.61","2.99","85.31","91.94","84.86"
"2026/06/11","87.30","1.05","-1.19","88.09","89.47","87.29"
"2026/06/10","88.35","2.88","-3.16","87.39","89.17","86.04"
"2026/06/09","91.23","14.60","19.05","86.55","91.23","85.56"
"2026/06/08","76.63","3.19","4.34","76.09","76.63","74.77"
"2026/06/05","73.44","0.00","0.00","73.87","73.90","72.05"
"2026/06/04","73.44","0.16","-0.22","73.88","74.27","73.14"
"2026/06/02","73.60","0.62","-0.84","75.37","75.42","71.65"
"2026/06/01","74.22","0.04","-0.05","72.27","75.14","72.27"
"2026/05/29","74.26","2.66","3.72","71.96","75.27","71.95"
"2026/05/28","71.60","0.82","1.16","70.84","72.29","69.96"
"2026/05/27","70.78","2.69","3.95","67.75","74.06","67.75"
"2026/05/26","68.09","1.12","1.67","69.82","70.29","68.08"
"2026/05/22","66.97","4.36","-6.11","66.86","67.38","66.25"
"2026/05/21","71.33","0.04","-0.06","70.64","72.99","68.70"
"2026/05/20","71.37","1.14","-1.57","71.44","72.95","71.37"
"2026/05/19","72.51","1.54","-2.08","74.76","76.01","72.50"
"2026/05/18","74.05","0.66","-0.88","76.81","82.23","74.05"
"2026/05/15","74.71","1.80","2.47","70.55","75.93","67.01"
"2026/05/14","72.91","3.25","-4.27","72.02","74.99","70.80"
"2026/05/13","76.16","6.02","8.58","75.28","79.10","73.31"
"2026/05/12","70.14","4.54","6.92","67.23","71.91","64.36"
"2026/05/11","65.60","5.07","8.38","60.14","67.31","60.14"
"2026/05/08","60.53","0.52","-0.85","59.05","60.82","58.28"
"2026/05/07","61.05","0.98","1.63","60.71","62.30","59.38"
"2026/05/06","60.07","4.20","7.52","55.48","64.83","54.57"
"2026/05/04","55.87","1.53","2.82","54.99","56.35","54.99"
"2026/04/30","54.34","1.23","-2.21","55.12","55.50","54.01"
"2026/04/29","55.57","0.57","1.04","55.80","56.00","55.26"
"2026/04/28","55.00","0.05","0.09","54.08","55.17","54.05"
"2026/04/27","54.95","1.39","2.60","55.41","55.60","54.77"
"2026/04/24","53.56","0.47","-0.87","53.69","54.28","53.38"
"2026/04/23","54.03","1.91","3.66","52.71","54.70","52.70"
"2026/04/22","52.12","0.49","0.95","51.74","52.43","51.24"
"2026/04/21","51.63","1.31","2.60","50.53","52.17","50.53"
"2026/04/20","50.32","1.81","3.73","49.73","50.55","49.09"
"2026/04/17","48.51","1.96","-3.88","50.17","50.33","48.51"
"2026/04/16","50.47","1.50","-2.89","52.51","53.75","50.27"
"2026/04/15","51.97","2.10","4.21","50.21","56.12","50.21"
"2026/04/14","49.87","0.27","-0.54","48.52","49.87","46.54"
"2026/04/13","50.14","0.56","1.13","51.54","51.98","50.11"
"2026/04/10","49.58","4.38","-8.12","53.06","53.81","49.07"
"2026/04/09","53.96","3.74","-6.48","56.43","56.43","53.96"
"2026/04/08","57.70","1.79","-3.01","57.69","58.86","56.72"
"2026/04/07","59.49","0.15","-0.25","59.92","61.23","59.07"
"2026/04/06","59.64","0.54","0.91","59.23","59.64","59.12"
"2026/04/03","59.10","0.19","0.32","59.28","59.83","58.94"
"2026/04/02","58.91","2.74","-4.44","56.80","59.45","56.12"
"2026/04/01","61.65","0.17","0.28","60.22","61.87","58.88"
"2026/03/31","61.48","0.05","0.08","62.20","62.67","61.08"
"2026/03/30","61.43","0.83","1.37","62.98","63.53","61.39"
"2026/03/27","60.60","0.75","1.25","60.68","62.21","60.00"
"2026/03/26","59.85","1.65","-2.68","60.89","60.89","59.43"
"2026/03/25","61.50","3.49","-5.37","61.17","62.47","61.17"
"2026/03/24","64.99","2.19","3.49","63.48","66.56","63.48"
"2026/03/23","62.80","7.16","12.87","58.51","62.88","57.90"
"2026/03/20","55.64","0.17","0.31","56.23","56.45","55.28"
"2026/03/19","55.47","1.29","2.38","54.54","55.87","53.97"
"2026/03/18","54.18","1.58","3.00","50.41","54.20","50.23"
"2026/03/17","52.60","2.07","-3.79","52.44","53.23","51.14"
"2026/03/16","54.67","6.09","-10.02","58.32","58.68","54.53"
"2026/03/13","60.76","4.59","-7.02","66.49","66.75","59.98"
"2026/03/12","65.35","2.16","3.42","64.28","65.57","63.93"
"2026/03/11","63.19","3.42","-5.13","62.56","63.53","62.01"
"2026/03/10","66.61","5.21","-7.25","69.31","70.42","65.47"
"2026/03/09","71.82","9.10","14.51","62.29","72.97","62.16"
"2026/03/06","62.72","10.99","-14.91","68.00","68.03","62.69"
"2026/03/05","73.71","6.66","-8.29","81.99","83.58","73.16"
"2026/03/04","80.37","17.39","27.61","65.74","80.85","64.98"
"2026/03/03","62.98","8.86","16.37","56.82","62.98","55.41"
"2026/02/27","54.12","0.55","-1.01","54.03","55.13","52.87"
"2026/02/26","54.67","5.10","10.29","50.50","55.03","50.34"
"2026/02/25","49.57","1.45","3.01","48.60","50.99","48.40"
"2026/02/24","48.12","1.78","3.84","47.13","48.30","46.74"
"2026/02/23","46.34","2.47","5.63","46.04","46.46","45.22"
"2026/02/20","43.87","1.31","3.08","42.50","43.88","41.98"
"2026/02/19","42.56","0.99","2.38","44.34","45.23","42.39"
"2026/02/13","41.57","1.06","2.62","40.65","41.93","40.14"
"2026/02/12","40.51","1.63","4.19","40.61","41.91","39.13"
"2026/02/11","38.88","3.12","-7.43","41.08","41.33","38.73"
"2026/02/10","42.00","5.16","-10.94","46.42","46.86","41.86"
"2026/02/09","47.16","4.32","-8.39","52.48","56.42","47.16"
"2026/02/06","51.48","0.73","-1.40","52.65","54.24","51.48"
"2026/02/05","52.21","1.51","2.98","51.08","52.68","48.69"
"2026/02/04","50.70","0.56","1.12","49.93","52.40","49.66"
"2026/02/03","50.14","2.77","5.85","48.77","50.25","45.08"
"2026/02/02","47.37","7.79","19.68","41.98","47.37","41.61"
"2026/01/30","39.58","0.66","1.70","38.96","40.05","38.62"
"2026/01/29","38.92","0.24","0.62","39.51","40.52","38.54"
"2026/01/28","38.68","3.87","11.12","37.72","38.97","36.94"
"2026/01/27","34.81","0.46","1.34","34.50","34.84","33.61"
"2026/01/26","34.35","0.26","0.76","35.15","35.20","34.28"
"2026/01/23","34.09","2.27","-6.24","36.02","36.22","34.09"
"2026/01/22","36.36","0.78","2.19","37.30","37.65","34.22"
"2026/01/21","35.58","1.02","2.95","35.59","36.10","34.79"
"2026/01/20","34.56","1.57","4.76","33.17","34.56","32.77"
